ticket_id,title,description,category,resolution,priority,department,created_at
TKT-2024-00001,"VPN connection fails for remote users","Users are unable to establish VPN connections, receiving error 619. This is affecting the entire remote sales team. Initial checks in Splunk show high load on the primary VPN concentrator.",Network,"Failed VPN concentrator was taken out of rotation via load balancer. Configuration was restored from backup and device was rebooted successfully.",P2 High,Network Operations Center (NOC),2024-03-12 09:15:22
TKT-2024-00002,"PROD-APP-07 experiencing high CPU utilization","Server PROD-APP-07 is consistently at 95% CPU, causing slow response times for the customer portal. Alerts were triggered in ServiceNow. The issue started after the last deployment.",Application,"Identified a memory leak in the recent code deployment. Rolled back the application version to the previous stable release and restarted the service.",P2 High,Application Support Team,2024-07-22 14:30:05
TKT-2024-00003,"User account lockout due to repeated failed logins","User jsmith@company.com is locked out of Okta after multiple failed MFA attempts. The user confirms they are using the correct credentials.",Access Management,"Unlocked the user account in Okta and verified no malicious activity via CrowdStrike logs. User was guided through resetting their authenticator app.",P4 Low,Identity & Access Management (IAM),2024-11-05 10:05:44
TKT-2024-00004,"Database replication lag on reporting server","Replication lag between primary DB-SQL-01 and replica DB-REP-02 is over 30 minutes. This is causing stale data in the nightly BI reports.",Database,"Identified a long-running query blocking the replication process. Killed the blocking session and optimized the offending query index.",P3 Medium,Database Administration (DBA),2024-05-18 16:45:11
TKT-2024-00005,"CrowdStrike alert for suspicious PowerShell execution","CrowdStrike flagged a high-severity alert on workstation WIN10-USER-45 for obfuscated PowerShell commands. The host is isolated.",Security,"Forensic analysis found a malicious script downloaded via phishing email. Removed the malware, cleared persistence mechanisms, and re-imaged the workstation.",P1 Critical,Security Operations Center (SOC),2024-09-30 08:22:17
TKT-2024-00006,"Terraform apply failing for network module","Terraform pipeline is failing during `terraform apply` for the new VPC module with an AWS provider authentication error. The plan stage succeeded.",Infrastructure,"Regenerated the expired AWS access key used by the Terraform service account and updated the secret in the CI/CD vault.",P3 Medium,Cloud Platform Engineering,2024-02-14 11:10:33
TKT-2024-00007,"File server DFS-01 is unreachable","Users cannot access shared drives on the file server DFS-01. Network ping fails, and the physical server appears offline.",Infrastructure,"Found a failed power supply unit in the server. Replaced the faulty PSU and brought the server back online. Verified share accessibility.",P2 High,Cloud Platform Engineering,2024-08-09 13:55:01
TKT-2024-00008,"Oracle database ORA-12541 error on PROD-DB-02","Application servers cannot connect to PROD-DB-02, throwing ORA-12541: TNS no listener. The database service is running.",Database,"Restarted the Oracle TNS listener service on the database server. Verified listener.ora configuration was correct.",P1 Critical,Database Administration (DBA),2024-06-27 03:18:29
TKT-2024-00009,"WiFi dropping in Building C East Wing","Multiple users in Building C report intermittent WiFi disconnections. The issue is localized to access points on the 3rd floor.",Network,"Updated firmware on the affected Aruba access points and adjusted channel interference settings after a site survey.",P3 Medium,Network Operations Center (NOC),2024-04-01 15:40:50
TKT-2024-00010,"ServiceNow integration with Jira is broken","The bi-directional sync between ServiceNow and Jira has stopped updating tickets. Last successful sync was 12 hours ago.",Application,"Restarted the middleware integration service on the app server. Re-validated API credentials and re-established the OAuth connection.",P3 Medium,Application Support Team,2024-10-12 12:05:18
TKT-2024-00011,"Request for new service account for automated backups","DevOps team requires a new service account with specific permissions to S3 buckets for a backup automation project.",Access Management,"Created service account 'svc-backup-automation' in Okta. Assigned required IAM policy in AWS and provided credentials via secure channel.",P4 Low,Identity & Access Management (IAM),2024-01-30 09:30:15
TKT-2024-00012,"Ansible playbook failing on web server group","Ansible playbook for deploying Apache configs fails on half the web server pool with a SSH connection timeout.",Infrastructure,"Identified a network ACL blocking Ansible control node IP. Updated the security group rules to allow traffic from the management subnet.",P3 Medium,Cloud Platform Engineering,2024-12-04 17:20:42
TKT-2024-00013,"Suspicious inbound traffic on port 3389","SOC analyst observed repeated RDP brute-force attempts from an external IP range against firewall perimeter.",Security,"Blocked the offending IP range at the network firewall. Added the IOC to CrowdStrike for blocking and reviewed exposed RDP hosts.",P2 High,Security Operations Center (SOC),2024-03-08 22:14:37
TKT-2024-00014,"Email delivery delays from internal SMTP server","Outbound emails from smtp-relay-01 are queued with significant delays. Internal mail flow is unaffected.",Application,"Cleared a large queue stuck due to a recipient domain's mail server being blacklisted. Adjusted smart host routing temporarily.",P3 Medium,Application Support Team,2024-07-01 10:50:23
TKT-2024-00015,"Backup failure for VM cluster VMW-CLUSTER-A","Nightly backup job for the VMware cluster failed with error 'Snapshot creation failed'. Several VMs are affected.",Infrastructure,"Identified and removed a stale snapshot on a template VM that was preventing new snapshots. Re-ran the backup job successfully.",P2 High,Cloud Platform Engineering,2024-05-05 04:10:59
TKT-2024-00016,"User cannot access specific SharePoint site","User reports access denied to a critical project SharePoint site despite being in the correct AD group. Others in the group can access.",Access Management,"Ran a permission refresh script on the SharePoint site collection. Manually added the user directly to the site to restore access.",P4 Low,Identity & Access Management (IAM),2024-09-15 11:25:08
TKT-2024-00017,"High latency on inter-office MPLS link","Voice call quality is poor between NY and London offices due to high latency and jitter on the primary MPLS circuit.",Network,"Worked with carrier to reroute traffic via a secondary path while they repaired a faulty node on the primary route.",P2 High,Network Operations Center (NOC),2024-11-28 08:45:30
TKT-2024-00018,"MySQL slow query performance on PROD-APP-DB","Application is timing out due to slow queries on the MySQL database. CPU and memory are normal.",Database,"Enabled slow query log, identified a missing composite index on a large table. Created the index and query performance improved.",P2 High,Database Administration (DBA),2024-02-29 13:12:47
TKT-2024-00019,"Okta SSO not working for Salesforce","Users cannot log into Salesforce via Okta SSO. Error states 'Invalid SAML Response'. Other apps work fine.",Access Management,"Regenerated the Salesforce SAML signing certificate in Okta and uploaded the new metadata to the Salesforce identity provider settings.",P2 High,Identity & Access Management (IAM),2024-06-14 16:03:21
