course_id,course_name,domain,skills_covered,description,duration_hours
IGOT-STAT-001,Fundamentals of Official Statistics & National Accounts,Statistical,"National Accounts, GDP Estimation, Macroeconomic Aggregates, Statistical Standards","Comprehensive guide to national accounting frameworks, GDP calculation methodologies, and macroeconomic data collection standards used in India's official statistical system.",15
IGOT-STAT-002,Sample Survey Design & Estimation Methodologies,Statistical,"Sample Surveys, Stratified Sampling, Cluster Sampling, Estimation Error, NSSO Framework","Mastering sample survey design, probability sampling techniques, weight generation, and sampling error estimation for large-scale household and enterprise surveys.",20
IGOT-STAT-003,Consumer Price Index (CPI) & Inflation Metrics Calculation,Statistical,"Inflation Analytics, CPI Calculation, Index Number Theory, Laspeyres Index, Price Data Collection","In-depth training on price index construction, basket weighting, urban and rural CPI estimation, and inflation trend monitoring.",12
IGOT-TECH-001,Python for Statistical Data Analytics & Processing,Technical,"Python, Pandas, NumPy, Data Cleaning, Exploratory Data Analysis, Matplotlib","Hands-on Python programming for automated data ingestion, missing value imputation, tabular data manipulation, and statistical visualization.",25
IGOT-TECH-002,R Programming for Survey Data Analysis & Econometrics,Technical,"R Language, Tidyverse, Regression Analysis, Survey Package, Econometrics","Statistical modeling and econometrics using R. Learn to process survey micro-data, run linear regressions, and generate publication-ready tables.",30
IGOT-TECH-003,Geospatial Data Analytics & GIS in Official Statistics,Technical,"GIS, QGIS, Spatial Analytics, Geo-tagging, Boundary Mapping, Remote Sensing Data","Introduction to Geographic Information Systems (GIS) for spatial sampling, district-level data visualization, and integrating satellite imagery with census data.",18
IGOT-TECH-004,Big Data Analytics & Cloud Infrastructure for Large Datasets,Technical,"Big Data, PySpark, Distributed Computing, SQL Databases, Data Warehousing","Managing terabyte-scale administrative and sensor data pipelines using Spark, distributed databases, and modern cloud analytics.",22
IGOT-GOV-001,"Data Privacy, Security & Ethics in Government Statistics",Digital Governance,"Data Privacy, DPDP Act 2023, Data Security, Anonymization Techniques, Ethical AI","Understanding compliance under the DPDP Act 2023, micro-data anonymization techniques, data confidentiality protocols, and responsible AI usage.",10
IGOT-GOV-002,Digital Governance & Open Data Dissemination Platforms,Digital Governance,"Open Data Portals, API Development, Data Dissemination, Metadata Standards, SDMX","Best practices for open data dissemination, setting up statistical APIs, complying with SDMX standards, and managing public data portals.",14
IGOT-MGT-001,Field Survey Team Leadership & Operational Management,Behavioural/Managerial,"Field Operations, Team Management, Data Quality Control, Conflict Resolution","Leadership techniques for field supervisors overseeing primary data collection, managing survey teams, and ensuring field-level data quality.",8
IGOT-STAT-004,Index of Industrial Production (IIP) & Economic Indicators,Statistical,"IIP Calculation, Factory Sector Statistics, Manufacturing Growth, Base Year Revisions","Detailed walkthrough of IIP compilation, factory data collection from ASI, monthly growth index computation, and seasonal adjustment.",12
IGOT-STAT-005,Periodic Labour Force Survey (PLFS) & Employment Analytics,Statistical,"PLFS Methodology, Labour Force Participation Rate, Worker Population Ratio, Unemployment Metrics","Understanding key labor indicators, activity status classification (CWS vs USAE), and quarterly/annual PLFS report analysis.",16
